[[-0.854   0.6485  0.4305 -0.1986]
 [-0.9737  0.6786  0.0547  0.7756]
 [-0.9752  0.6738  0.0471  0.7903]
 [-0.9762  0.6663  0.0392  0.803 ]
 [-0.9767  0.6564  0.0311  0.8135]
 [-0.9768  0.6447  0.0232  0.8215]
 [-0.9765  0.6314  0.0154  0.8272]
 [-0.9757  0.6169  0.0083  0.8299]
 [-0.9745  0.6014  0.0019  0.8299]
 [-0.9729  0.5852 -0.0038  0.8271]
 [-0.9708  0.5684 -0.0085  0.821 ]
 [-0.9683  0.5524 -0.0116  0.8117]
 [-0.9661  0.5391 -0.0137  0.8026]
 [-0.9643  0.5288 -0.0152  0.795 ]
 [-0.9629  0.5211 -0.0163  0.789 ]
 [-0.9619  0.5156 -0.0172  0.7848]
 [-0.9612  0.5118 -0.018   0.7822]
 [-0.9608  0.5094 -0.019   0.7814]
 [-0.9607  0.5081 -0.0201  0.7821]
 [-0.9609  0.5074 -0.0216  0.7843]
 [-0.9612  0.5072 -0.0235  0.7881]
 [-0.9618  0.5071 -0.0259  0.7934]
 [-0.9625  0.5069 -0.029   0.8003]
 [-0.9634  0.5064 -0.0327  0.8087]
 [-0.9643  0.5054 -0.0368  0.8174]
 [-0.9651  0.5039 -0.0405  0.8248]
 [-0.9655  0.502  -0.0436  0.8299]
 [-0.9656  0.4999 -0.0459  0.833 ]
 [-0.9656  0.4982 -0.0477  0.8349]
 [-0.9656  0.4971 -0.0493  0.8369]
 [-0.9659  0.4968 -0.051   0.84  ]
 [-0.9663  0.4972 -0.0527  0.8438]
 [-0.9668  0.4984 -0.0543  0.8482]
 [-0.9674  0.5003 -0.0557  0.8529]
 [-0.9681  0.5029 -0.0569  0.8577]
 [-0.9688  0.5061 -0.0578  0.8624]
 [-0.9695  0.51   -0.0585  0.867 ]
 [-0.9702  0.5143 -0.0588  0.8713]
 [-0.971   0.5191 -0.0589  0.8754]
 [-0.9717  0.5243 -0.0587  0.8792]
 [-0.9724  0.5296 -0.0584  0.8828]
 [-0.9731  0.5352 -0.0578  0.8862]
 [-0.9738  0.5409 -0.0572  0.8894]
 [-0.9745  0.5467 -0.0565  0.8924]
 [-0.9751  0.5525 -0.0556  0.8952]
 [-0.9758  0.5583 -0.0547  0.8979]
 [-0.9764  0.5641 -0.0538  0.9004]
 [-0.977   0.5698 -0.0528  0.9028]
 [-0.9776  0.5755 -0.0518  0.9051]
 [-0.9781  0.5811 -0.0508  0.9073]
 [-0.9787  0.5866 -0.0498  0.9094]
 [-0.9792  0.5921 -0.0488  0.9114]
 [-0.9797  0.5974 -0.0478  0.9133]
 [-0.9802  0.6027 -0.0467  0.9151]
 [-0.9807  0.6079 -0.0457  0.9169]
 [-0.9812  0.6129 -0.0447  0.9186]
 [-0.9816  0.6179 -0.0437  0.9202]
 [-0.9821  0.6229 -0.0428  0.9218]
 [-0.9825  0.6277 -0.0418  0.9233]
 [-0.9829  0.6324 -0.0408  0.9248]
 [-0.9833  0.6371 -0.0399  0.9262]
 [-0.9837  0.6417 -0.039   0.9276]
 [-0.9841  0.6461 -0.038   0.9289]
 [-0.9845  0.6506 -0.0371  0.9302]
 [-0.9848  0.6549 -0.0362  0.9314]
 [-0.9852  0.6592 -0.0354  0.9326]
 [-0.9855  0.6634 -0.0345  0.9338]
 [-0.9858  0.6675 -0.0337  0.9349]
 [-0.9862  0.6716 -0.0328  0.936 ]
 [-0.9865  0.6756 -0.032   0.9371]
 [-0.9868  0.6795 -0.0312  0.9381]
 [-0.9871  0.6834 -0.0304  0.9392]
 [-0.9874  0.6872 -0.0297  0.9401]
 [-0.9876  0.691  -0.0289  0.9411]
 [-0.9879  0.6947 -0.0282  0.942 ]
 [-0.9882  0.6983 -0.0274  0.9428]
 [-0.9884  0.7019 -0.0265  0.9432]
 [-0.9885  0.7053 -0.0255  0.9432]
 [-0.9886  0.7086 -0.0245  0.9428]
 [-0.9886  0.7117 -0.0233  0.942 ]
 [-0.9885  0.7147 -0.0221  0.9409]
 [-0.9884  0.7176 -0.0208  0.9395]
 [-0.9883  0.7205 -0.0195  0.9381]
 [-0.9882  0.7233 -0.0182  0.9365]
 [-0.9881  0.7261 -0.017   0.935 ]
 [-0.988   0.7288 -0.0157  0.9334]
 [-0.9878  0.7315 -0.0144  0.9318]
 [-0.9877  0.7341 -0.0132  0.9302]
 [-0.9875  0.7367 -0.0119  0.9285]
